address,inTx,outTx,inBTC,outBTC,inUSD,outUSD,paying,paid,dateFirstTx,dateLastTx,lifetime
1AXTqWYz1Bd3LZnq1Zf9vsgFBpqrKkHopx,155,184,46426110,46410071,365.84932479036445,366.8447321490791,133,111,Sun Feb 21 19:06:08 CET 2016,Thu Jul 27 11:41:02 CEST 2017,521
1PZ8E5oT7EUVgEVz1Ggc7bjXe2byxr7wxG,13,12,2985967,2985967,35.77669705376288,35.800826463034745,12,17,Fri Feb 03 23:17:23 CET 2017,Fri Jun 02 16:16:35 CEST 2017,118
1GetPaiDxjEuWN3KJTnY9Cbqv9QcR8zcME,54,160,6772551323,6772551323,16220.554571753091,16613.03346275287,37,169,Sun Jun 07 02:45:12 CEST 2015,Fri Apr 29 16:43:23 CEST 2016,327
14ji9KmegNHhTchf4ftkt3J1ywmijGjd6M,1096,1771,19833030562,19833020562,139726.19537246955,138569.60681100673,5,671,Tue Feb 04 02:54:59 CET 2014,Mon Jul 07 03:05:36 CEST 2014,152
1AQxcdPgMTTQghPXt1EXHU8vEjSn2kYrPQ,48,29,74539796,74539796,506.13324137662585,670.1452203782768,31,21,Sat Feb 08 23:20:52 CET 2014,Thu Oct 16 06:56:18 CEST 2014,249
195o79saDhUNHJ4DeMBYMekLmrQ848APxA,6,18,77353836,77353836,202.03268801583462,186.30786744158013,6,20,Sat Mar 21 20:53:05 CET 2015,Tue May 26 22:40:51 CEST 2015,66
1A88teD6QqXRHBMCyCkoxxBQHpJAztUz6e,172,32,96706459,96518812,1067.6323882278593,1071.2870417166707,117,62,Fri Jan 20 19:35:37 CET 2017,Thu May 04 11:46:35 CEST 2017,103
13NZxtAnKk5mbCUHpxHqKwWTDJzFHMGHLh,3075,12,1140517361,468954283,16372.194547673194,13201.663945441282,2134,9,Wed Jan 11 00:19:27 CET 2017,Sun Aug 20 18:06:24 CEST 2017,221
18Smkvyf3gJN4z59FhjJsCu6NhSYmZkNvG,3461,83,1151663176,1149342627,9235.308332442091,9445.739093176557,2397,6,Mon May 16 20:04:08 CEST 2016,Sun Aug 20 15:20:55 CEST 2017,460
3DYxgH6hyS83HxHarVh9iq4RJ6ufPtL2cy,0,0,0,0,0.0,0.0,0,0,Thu Jan 01 00:59:59 CET 1970,Thu Jan 01 01:00:00 CET 1970,0
